"","male","white","black","hispanic","mompro2","poppro2","siblings","norest96","norcen96","south96","west96","height81","height85","esteem80","athlets","wage96","hgc96","daded79","momed79","age","clubnum"
"1",0,1,0,0,0,0,1,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,8,8,NA,NA
"2",0,1,0,0,0,0,8,1,0,0,0,62,62,20,0,NA,12,8,5,37,2
"3",0,1,0,0,0,0,3,0,0,0,1,NA,70,24,0,NA,12,12,10,34,0
"4",0,1,0,0,0,0,3,0,0,0,1,67,67,NA,0,14.6321067810059,14,12,11,33,0
"5",1,1,0,0,0,0,1,NA,NA,NA,NA,63,NA,23,0,NA,NA,12,12,NA,2
"6",1,1,0,0,0,0,1,0,1,0,0,64,65,27,1,14.2508144378662,16,12,12,NA,2
"7",1,1,0,0,0,0,1,1,0,0,0,65,69,26,1,10.2564105987549,12,12,12,31,1
"8",0,1,0,0,1,0,7,1,0,0,0,65,64,24,1,9.61538505554199,12,6,9,37,2
"9",1,1,0,0,0,0,4,1,0,0,0,66,65,28,1,16.6666660308838,14,10,12,32,0
"10",0,1,0,0,0,0,3,NA,NA,NA,NA,66,66,21,0,NA,NA,12,12,NA,0
"11",1,1,0,0,0,0,1,1,0,0,0,71,71,NA,0,28.8461532592773,16,12,12,36,3
"12",0,1,0,0,1,1,3,NA,NA,NA,NA,66,66,28,1,NA,NA,12,15,NA,2
"13",1,1,0,0,0,0,2,1,0,0,0,71,72,25,1,25,16,16,12,37,0
"14",0,1,0,0,0,1,2,1,0,0,0,67,67,23,1,22.9249019622803,17,12,12,32,2
"15",1,1,0,0,0,0,1,0,0,1,0,73,74,23,1,20.8791217803955,16,12,12,32,0
"16",0,1,0,0,0,0,3,1,0,0,0,63,63,25,1,26.7094020843506,13,12,12,37,0
"17",1,1,0,0,0,0,2,1,0,0,0,69,69,25,1,15.625,13,15,12,39,1
"18",1,1,0,0,0,0,2,0,0,0,1,69,66,26,1,34.1880340576172,13,16,12,38,0
"19",0,1,0,0,0,0,3,NA,NA,NA,NA,64,65,28,0,NA,NA,12,10,38,0
"20",0,1,0,0,0,1,2,1,0,0,0,64,64,23,1,20.6741580963135,16,18,12,36,0
"21",0,1,0,0,0,1,2,1,0,0,0,62,62,28,1,21.0227279663086,16,18,12,34,3
"22",0,1,0,0,0,0,1,1,0,0,0,64,64,19,1,NA,16,12,12,33,3
"23",1,1,0,0,0,0,2,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,12,12,NA,NA
"24",1,1,0,0,0,0,2,1,0,0,0,71,72,27,NA,13.3779268264771,12,12,12,35,NA
"25",0,1,0,0,0,0,1,1,0,0,0,67,67,23,0,14.4230766296387,14,16,14,36,0
"26",1,1,0,0,1,0,2,NA,NA,NA,NA,67,67,27,1,NA,NA,17,16,NA,4
"27",0,1,0,0,0,1,1,1,0,0,0,63,63,26,0,16.5,16,20,14,36,1
"28",0,1,0,0,0,1,1,1,0,0,0,65,65,22,1,7.71084356307983,12,20,14,32,1
"29",0,1,0,0,0,0,1,1,0,0,0,67,66,28,0,15.7692308425903,12,4,0,35,1
"30",0,1,0,0,0,0,1,NA,NA,NA,NA,64,64,21,0,NA,12,6,NA,37,2
"31",1,0,0,1,0,0,2,NA,NA,NA,NA,68,69,28,0,NA,NA,3,9,32,0
"32",0,0,0,1,0,0,2,1,0,0,0,61,62,NA,1,13.2478628158569,18,12,12,NA,2
"33",1,0,0,1,1,0,2,1,0,0,0,NA,NA,NA,NA,NA,12,15,12,NA,NA
"34",1,1,0,0,0,0,5,1,0,0,0,70,70,27,1,24,13,12,13,37,0
"35",0,1,0,0,0,0,5,1,0,0,0,64,62,26,0,7.307692527771,13,12,12,32,1
"36",1,1,0,0,0,0,3,1,0,0,0,72,70,16,0,10.4395608901978,12,12,14,33,2
"37",0,1,0,0,0,0,4,1,0,0,0,67,67,22,0,NA,12,12,12,37,0
"38",0,1,0,0,0,0,4,1,0,0,0,64,63,23,0,15.5925159454346,12,12,12,33,0
"39",1,1,0,0,0,0,4,0,0,1,0,71,72,NA,1,17.3076915740967,12,12,12,37,1
"40",1,1,0,0,0,0,2,1,0,0,0,67,66,21,1,0.763125777244568,13,12,10,36,0
"41",1,1,0,0,0,0,3,1,0,0,0,74,73,26,1,21.4743595123291,15,12,10,NA,1
"42",1,1,0,0,0,0,1,1,0,0,0,71,72,24,1,14.9572649002075,12,12,14,32,0
"43",0,1,0,0,0,1,2,1,0,0,0,67,64,17,0,NA,12,9,10,35,0
"44",0,1,0,0,0,0,4,1,0,0,0,64,64,21,1,NA,12,12,12,35,0
"45",1,1,0,0,0,0,2,NA,NA,NA,NA,70,68,24,1,NA,NA,10,9,NA,0
"46",0,1,0,0,0,0,0,1,0,0,0,62,62,28,0,14.1509437561035,19,12,12,33,1
"47",1,1,0,0,0,1,1,1,0,0,0,73,72,21,0,26.1501216888428,12,16,12,37,0
"48",1,1,0,0,0,1,3,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,12,12,NA,NA
"49",0,1,0,0,0,0,6,1,0,0,0,69,69,27,1,14.9956731796265,14,12,12,38,4
"50",0,1,0,0,0,0,4,1,0,0,0,65,64,20,0,4.02414464950562,12,10,9,37,1
"51",1,1,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,9,NA,NA
"52",1,1,0,0,0,0,6,NA,NA,NA,NA,72,72,27,1,NA,NA,14,12,NA,0
"53",1,0,0,1,0,0,3,0,0,1,0,69,68,21,0,NA,12,4,NA,33,0
"54",1,1,0,0,0,0,3,1,0,0,0,73,73,21,0,0,10,5,3,38,0
"55",1,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,NA
"56",0,1,0,0,0,0,2,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,12,12,NA,NA
"57",0,1,0,0,0,0,1,1,0,0,0,67,66,27,0,15.3631286621094,12,12,12,38,3
"58",0,1,0,0,1,1,2,1,0,0,0,62,62,28,0,20.8144798278809,17,17,12,39,3
"59",1,1,0,0,0,1,2,1,0,0,0,69,69,27,0,14.4230766296387,12,NA,NA,36,0
"60",1,1,0,0,0,1,2,1,0,0,0,71,69,28,0,27.884614944458,12,16,12,35,0
"61",0,1,0,0,0,1,3,1,0,0,0,65,66,21,0,15.432692527771,14,16,12,33,1
"62",0,1,0,0,0,1,3,1,0,0,0,70,70,24,1,13.4615383148193,12,16,12,31,0
"63",1,1,0,0,1,0,3,1,0,0,0,70,71,23,1,22.5464191436768,16,12,12,36,2
"64",1,1,0,0,1,0,3,NA,NA,NA,NA,72,72,26,0,NA,NA,12,15,NA,4
"65",0,1,0,0,1,0,3,NA,NA,NA,NA,66,66,23,1,NA,NA,12,16,NA,1
"66",1,1,0,0,0,1,3,1,0,0,0,68,67,22,1,NA,14,17,12,32,0
"67",1,1,0,0,0,1,1,1,0,0,0,73,NA,27,1,51.2485389709473,18,18,NA,NA,3
"68",0,1,0,0,0,1,1,1,0,0,0,69,70,28,1,NA,16,17,16,34,2
"69",1,1,0,0,1,1,1,1,0,0,0,73,75,23,1,21.634614944458,18,16,17,31,1
"70",1,1,0,0,1,0,1,1,0,0,0,69,69,26,1,12.0192308425903,18,16,20,35,2
"71",1,1,0,0,1,0,1,0,0,0,1,70,70,28,1,45.0067291259766,19,16,17,33,5
"72",0,1,0,0,0,0,2,1,0,0,0,65,66,25,1,5.03875970840454,16,16,14,36,2
"73",1,1,0,0,0,1,2,1,0,0,0,70,70,28,1,12.0879125595093,18,16,16,NA,2
"74",0,1,0,0,0,0,3,NA,NA,NA,NA,65,65,25,0,NA,NA,16,15,NA,0
"75",0,1,0,0,0,0,3,1,0,0,0,64,65,26,1,18.269229888916,16,16,14,34,2
"76",1,1,0,0,0,0,3,1,0,0,0,73,73,23,0,11.5384616851807,14,16,16,32,1
"77",0,1,0,0,1,1,1,1,0,0,0,63,63,22,1,24.4282741546631,16,16,16,32,3
"78",0,1,0,0,0,1,2,1,0,0,0,64,64,25,1,NA,16,18,16,39,1
"79",1,1,0,0,0,1,2,1,0,0,0,71,72,26,1,NA,18,18,16,36,4
"80",1,1,0,0,1,1,5,0,0,0,1,67,68,26,NA,6.59340667724609,17,20,14,32,NA
"81",1,1,0,0,0,1,5,1,0,0,0,69,71,23,NA,4.26780462265015,19,20,12,31,NA
"82",1,0,1,0,0,0,6,1,0,0,0,71,68,24,NA,5.22727251052856,12,NA,NA,37,NA
"83",1,0,1,0,0,0,3,1,0,0,0,71,73,21,0,NA,10,NA,6,35,0
"84",1,0,1,0,0,0,3,1,0,0,0,68,68,21,0,1.28571426868439,12,12,NA,33,0
"85",1,0,1,0,0,0,7,NA,NA,NA,NA,66,64,25,1,NA,NA,11,11,37,0
"86",0,0,1,0,0,0,7,1,0,0,0,61,59,25,0,6.07902717590332,9,9,9,35,0
"87",1,0,1,0,0,0,7,1,0,0,0,68,68,24,NA,1.27388536930084,12,12,11,33,NA
"88",1,0,1,0,0,0,1,1,0,0,0,72,72,28,1,55.5288467407227,16,12,12,39,2
"89",0,0,1,0,0,0,8,1,0,0,0,67,67,25,0,19.7115383148193,16,12,12,37,0
"90",1,1,0,0,0,0,2,1,0,0,0,71,72,27,1,30.769229888916,16,4,5,37,0
"91",0,1,0,0,0,0,2,1,0,0,0,67,67,22,1,16.3461532592773,16,3,5,32,0
"92",0,1,0,0,0,0,1,1,0,0,0,59,59,25,1,6.19195032119751,12,12,12,33,1
"93",1,1,0,0,0,0,1,0,1,0,0,69,70,26,0,8.46153831481934,12,NA,NA,31,0
"94",1,1,0,0,0,0,2,1,0,0,0,68,68,24,0,12.9807691574097,10,10,10,NA,0
"95",0,1,0,0,0,0,2,1,0,0,0,65,65,21,0,10.3969755172729,12,NA,10,35,0
"96",0,1,0,0,0,0,2,1,0,0,0,64,64,21,0,11.057692527771,12,NA,6,34,2
"97",0,1,0,0,0,0,7,1,0,0,0,66,67,23,0,22.8365383148193,12,11,12,38,0
"98",0,1,0,0,1,0,2,1,0,0,0,63,64,26,1,NA,13,14,17,38,0
"99",0,1,0,0,0,1,1,1,0,0,0,NA,64,25,NA,2.22222232818604,14,16,12,38,NA
"100",0,1,0,0,0,0,2,1,0,0,0,64,66,23,NA,15.4514722824097,12,NA,NA,32,NA
"101",1,1,0,0,0,0,1,1,0,0,0,66,66,26,1,21.0798816680908,19,6,10,37,0
"102",0,1,0,0,0,0,1,1,0,0,0,61,62,24,1,NA,16,5,10,32,0
"103",1,1,0,0,0,0,2,0,0,1,0,71,71,23,1,22.0588226318359,18,NA,11,37,1
"104",0,1,0,0,0,0,0,1,0,0,0,69,NA,27,0,21.634614944458,12,NA,12,37,1
"105",0,1,0,0,0,0,0,1,0,0,0,67,67,22,0,14.8351650238037,12,12,12,37,2
"106",1,1,0,0,0,0,1,1,0,0,0,70,68,22,0,25.480770111084,16,9,12,35,0
"107",1,1,0,0,0,1,2,1,0,0,0,69,70,25,0,18.1912689208984,16,9,11,34,1
"108",1,1,0,0,0,1,2,1,0,0,0,68,68,24,1,5.76923084259033,20,8,11,37,0
"109",0,1,0,0,0,0,2,1,0,0,0,67,67,23,0,20.9459457397461,12,NA,NA,NA,1
"110",1,1,0,0,0,0,3,1,0,0,0,72,72,21,1,22.8365383148193,13,12,NA,39,4
"111",0,1,0,0,0,0,3,1,0,0,0,60,60,25,0,30.2197799682617,12,10,11,37,0
"112",0,1,0,0,0,0,3,1,0,0,0,68,68,22,1,2.7746946811676,11,8,12,32,0
"113",1,1,0,0,0,0,3,NA,NA,NA,NA,70,70,20,0,NA,NA,NA,NA,NA,0
"114",1,1,0,0,0,0,3,NA,NA,NA,NA,70,70,26,0,NA,NA,7,6,NA,0
"115",0,1,0,0,0,0,2,NA,NA,NA,NA,66,66,28,1,NA,NA,12,10,NA,0
"116",0,1,0,0,0,1,2,NA,NA,NA,NA,67,NA,25,1,NA,NA,12,10,NA,2
"117",1,1,0,0,0,0,2,1,0,0,0,71,71,28,1,23.8461532592773,15,12,10,36,1
"118",0,1,0,0,0,0,2,1,0,0,0,68,69,20,0,11.2520456314087,9,8,NA,34,0
"119",1,1,0,0,0,0,2,1,0,0,0,70,71,26,0,2.1951220035553,16,8,11,39,0
"120",1,1,0,0,0,0,2,1,0,0,0,72,72,21,1,48.8931045532227,16,12,16,34,5
"121",0,1,0,0,0,0,2,1,0,0,0,65,65,28,1,8.49056625366211,17,15,17,31,1
"122",1,1,0,0,0,0,1,1,0,0,0,72,73,23,1,15,12,10,11,34,0
"123",1,1,0,0,0,1,1,NA,NA,NA,NA,70,71,21,1,NA,NA,16,16,NA,0
"124",0,1,0,0,0,1,7,1,0,0,0,61,61,21,0,3.17460322380066,15,14,14,35,0
"125",1,1,0,0,0,1,7,1,0,0,0,71,71,26,0,NA,13,14,12,39,0
"126",1,1,0,0,0,1,7,1,0,0,0,72,72,24,0,15.1627216339111,14,15,14,37,0
"127",1,1,0,0,0,0,1,NA,NA,NA,NA,69,69,19,0,NA,NA,12,12,NA,0
"128",0,1,0,0,0,1,-3,NA,NA,NA,NA,61,61,27,1,NA,NA,12,10,38,0
"129",1,1,0,0,0,1,3,1,0,0,0,70,70,28,1,21.5213356018066,16,14,13,35,2
"130",0,1,0,0,0,0,7,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,0,NA,NA
"131",0,1,0,0,0,0,10,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,15,13,NA,NA
"132",0,1,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA
"133",0,1,0,0,0,0,4,1,0,0,0,64,63,25,0,21.8295211791992,12,11,10,33,0
"134",1,1,0,0,0,0,5,1,0,0,0,69,69,25,0,22.7272720336914,12,12,9,35,0
"135",1,1,0,0,0,0,5,1,0,0,0,67,67,21,0,15.384614944458,16,12,9,31,0
"136",0,1,0,0,0,0,1,1,0,0,0,NA,60,28,0,NA,12,12,NA,38,0
"137",0,1,0,0,0,1,4,1,0,0,0,66,66,27,1,67.5100936889648,16,16,13,34,1
"138",0,1,0,0,0,1,4,1,0,0,0,63,63,23,1,3.8461537361145,16,16,14,33,2
"139",1,1,0,0,0,1,4,NA,NA,NA,NA,67,68,27,1,NA,NA,16,16,32,2
"140",0,1,0,0,1,1,1,1,0,0,0,70,70,28,0,25.2747249603271,17,12,15,37,1
"141",0,1,0,0,0,0,2,1,0,0,0,64,64,28,0,2.71493220329285,18,16,12,33,1
"142",1,1,0,0,0,0,3,NA,NA,NA,NA,71,70,27,0,NA,NA,10,9,36,0
"143",0,1,0,0,0,0,3,1,0,0,0,63,64,23,0,22.6171245574951,12,10,10,35,1
"144",0,1,0,0,0,0,3,1,0,0,0,64,64,21,0,NA,12,10,9,31,0
"145",1,1,0,0,0,0,3,1,0,0,0,69,69,22,0,10.0719423294067,12,12,12,34,0
"146",1,1,0,0,0,0,3,0,0,1,0,66,68,23,1,6.25850343704224,12,12,12,32,0
"147",0,1,0,0,0,0,0,1,0,0,0,61,61,20,0,NA,14,12,10,34,0
"148",1,1,0,0,0,0,2,1,0,0,0,72,71,28,0,13.2569561004639,12,12,12,33,1
"149",0,1,0,0,0,0,2,1,0,0,0,65,65,21,0,26.2019233703613,12,12,11,32,0
"150",1,1,0,0,0,0,0,1,0,0,0,66,66,28,0,6.62076282501221,12,14,12,36,1
"151",0,1,0,0,0,0,2,1,0,0,0,64,64,28,1,0,12,12,12,NA,0
"152",0,1,0,0,0,0,2,1,0,0,0,64,64,28,1,23.0769233703613,12,12,12,34,0
"153",0,1,0,0,0,0,2,1,0,0,0,NA,62,NA,NA,8.40925025939941,12,13,12,33,NA
"154",0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,NA
"155",1,1,0,0,0,1,3,1,0,0,0,71,69,22,1,11.4285717010498,9,12,12,32,1
"156",1,1,0,0,0,0,4,NA,NA,NA,NA,67,68,NA,0,NA,NA,17,12,NA,0
"157",0,1,0,0,0,1,2,NA,NA,NA,NA,63,63,25,1,NA,NA,16,12,34,0
"158",0,1,0,0,0,1,2,1,0,0,0,61,61,27,0,8.64553356170654,16,16,12,37,3
"159",0,1,0,0,0,1,2,1,0,0,0,61,60,25,1,22.5961532592773,16,16,12,36,3
"160",0,1,0,0,0,0,3,1,0,0,0,66,67,24,1,18.4829063415527,14,8,8,36,2
"161",0,1,0,0,0,0,3,1,0,0,0,67,68,21,0,16.0256404876709,12,7,NA,35,0
"162",1,1,0,0,1,1,2,0,1,0,0,70,71,22,1,25.174825668335,17,17,16,35,1
"163",1,1,0,0,0,1,2,NA,NA,NA,NA,72,72,26,1,NA,NA,18,16,NA,3
"164",0,1,0,0,0,0,3,1,0,0,0,61,62,24,NA,13.3547010421753,12,12,12,NA,NA
"165",0,1,0,0,0,0,3,1,0,0,0,66,66,21,0,5.12820529937744,12,12,10,35,0
"166",1,1,0,0,0,0,3,1,0,0,0,70,70,22,0,17.7884616851807,13,12,10,34,0
"167",0,1,0,0,0,1,4,1,0,0,0,64,64,27,1,7.85340309143066,12,12,12,36,1
"168",1,0,1,0,0,0,4,NA,NA,NA,NA,71,NA,26,1,NA,NA,10,6,NA,0
"169",0,0,1,0,0,0,4,NA,NA,NA,NA,NA,62,23,0,NA,NA,10,6,NA,0
"170",0,1,0,0,0,0,1,NA,NA,NA,NA,NA,66,18,0,6.59340667724609,14,8,12,39,0
"171",1,1,0,0,0,0,0,0,0,0,1,70,69,25,0,21.634614944458,16,12,13,34,0
"172",0,1,0,0,0,0,9,1,0,0,0,63,62,14,0,NA,9,NA,12,38,0
"173",1,1,0,0,0,0,2,NA,NA,NA,NA,NA,73,20,0,NA,NA,7,10,NA,1
"174",0,0,0,1,0,0,1,1,0,0,0,61,65,22,0,22.4358978271484,13,12,13,35,0
"175",0,1,0,0,0,0,2,NA,NA,NA,NA,66,65,NA,0,6.90256404876709,14,9,12,NA,1
"176",0,1,0,0,0,0,2,NA,NA,NA,NA,64,64,24,0,NA,NA,12,12,NA,2
"177",1,1,0,0,0,0,2,NA,NA,NA,NA,72,71,26,0,NA,NA,12,12,36,0
"178",1,1,0,0,0,0,2,1,0,0,0,71,72,26,1,10.9890108108521,14,14,12,37,0
"179",0,1,0,0,0,1,2,1,0,0,0,60,60,26,0,9.61538505554199,12,12,11,37,0
"180",0,1,0,0,0,1,4,0,0,1,0,63,63,28,1,17.4165458679199,16,16,12,39,0
"181",1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,14,37,NA
"182",1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",0,1,0,0,0,0,3,1,0,0,0,62,62,21,1,NA,12,12,12,37,0
"184",0,1,0,0,0,0,3,1,0,0,0,66,65,24,1,9.61538505554199,16,12,12,35,0
"185",1,1,0,0,0,0,3,1,0,0,0,72,72,21,1,12,12,12,12,31,0
"186",0,1,0,0,0,0,2,1,0,0,0,65,65,22,1,25.4086532592773,15,12,12,37,4
"187",1,1,0,0,0,0,2,NA,NA,NA,NA,72,75,23,1,NA,NA,12,12,NA,3
"188",0,1,0,0,0,0,1,0,0,1,0,65,NA,21,0,5.49450540542603,10,12,10,37,0
"189",1,1,0,0,0,0,2,0,0,1,0,75,74,25,0,18.269229888916,16,12,10,37,0
"190",0,1,0,0,0,1,2,NA,NA,NA,NA,63,63,25,0,NA,18,17,16,34,3
"191",1,1,0,0,0,1,2,1,0,0,0,67,68,28,1,33.3333320617676,19,17,16,32,3
"192",0,1,0,0,0,1,1,1,0,0,0,61,61,24,1,43.1034469604492,16,12,12,33,2
"193",1,1,0,0,0,0,1,1,0,0,0,68,68,23,0,29.3269233703613,16,12,12,38,1
"194",1,1,0,0,0,1,1,NA,NA,NA,NA,72,72,24,1,NA,NA,12,12,32,0
"195",1,1,0,0,0,1,1,0,0,1,0,72,72,26,0,54.0080757141113,18,16,10,37,0
"196",1,1,0,0,0,0,1,1,0,0,0,71,72,21,1,25.8875732421875,18,16,20,32,1
"197",0,1,0,0,0,0,3,1,0,0,0,61,62,21,0,NA,12,12,11,33,0
"198",1,1,0,0,1,1,1,0,0,0,1,68,70,27,1,22.7272720336914,18,17,16,33,1
"199",1,1,0,0,0,0,2,1,0,0,0,66,66,21,0,12.8205127716064,12,12,12,37,0
"200",0,1,0,0,0,0,2,1,0,0,0,63,63,18,1,9.61538505554199,12,12,16,37,1
"201",1,1,0,0,0,1,1,1,0,0,0,71,70,28,1,45.0067291259766,16,20,13,39,1
"202",1,1,0,0,0,1,1,0,0,0,1,73,NA,26,1,10.0840339660645,14,16,16,35,5
"203",0,0,0,1,0,0,1,NA,NA,NA,NA,63,NA,23,0,NA,NA,NA,10,NA,0
"204",0,0,0,1,0,0,5,1,0,0,0,NA,NA,24,NA,11.1538457870483,11,16,5,39,NA
"205",0,0,0,1,0,0,4,1,0,0,0,62,62,23,0,NA,12,12,NA,39,0
"206",1,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,12,11,NA,NA
"207",1,1,0,0,0,1,2,1,0,0,0,69,70,21,0,12.6984128952026,9,10,9,33,0
"208",0,1,0,0,0,0,3,1,0,0,0,NA,65,25,0,NA,12,NA,NA,38,0
"209",1,1,0,0,0,0,2,1,0,0,0,70,70,27,1,12.8205127716064,11,NA,12,35,0
"210",1,1,0,0,0,1,2,1,0,0,0,NA,70,20,1,15.384614944458,16,12,12,NA,0
"211",0,1,0,0,0,1,2,1,0,0,0,66,62,26,1,17.7884616851807,16,12,12,32,0
"212",1,1,0,0,0,0,3,1,0,0,0,73,72,27,1,2.76967930793762,12,16,12,35,0
"213",1,1,0,0,0,1,3,1,0,0,0,71,72,23,1,0,16,16,12,33,3
"214",1,1,0,0,0,1,3,1,0,0,0,72,72,21,1,12.7434482574463,15,16,12,32,0
"215",1,1,0,0,0,1,2,NA,NA,NA,NA,76,76,21,1,NA,NA,12,12,NA,0
"216",0,1,0,0,0,1,2,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,14,11,NA,NA
"217",1,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,14,12,NA,NA
"218",1,1,0,0,0,1,2,1,0,0,0,67,67,28,0,60.008975982666,16,12,12,38,2
"219",0,1,0,0,0,1,1,1,0,0,0,64,65,25,0,33.1730766296387,20,11,12,37,0
"220",0,1,0,0,0,1,1,1,0,0,0,67,67,25,1,43.9560432434082,20,12,12,34,1
"221",0,0,1,0,0,0,6,1,0,0,0,54,61,19,0,0,10,NA,NA,31,0
"222",1,0,1,0,0,0,6,1,0,0,0,65,66,16,1,NA,9,NA,9,34,0
"223",1,0,1,0,0,0,6,1,0,0,0,NA,65,21,0,20.6730766296387,9,NA,NA,33,0
"224",0,0,1,0,0,0,6,1,0,0,0,64,NA,27,0,7.6530613899231,12,NA,9,36,0
"225",1,0,0,1,0,0,3,NA,NA,NA,NA,63,63,22,0,NA,NA,NA,9,NA,0
"226",1,0,0,1,0,0,3,NA,NA,NA,NA,66,68,NA,0,NA,NA,6,9,NA,0
"227",0,0,1,0,0,0,4,1,0,0,0,63,63,20,0,7.05882358551025,12,9,9,38,0
"228",0,0,0,1,0,0,4,NA,NA,NA,NA,NA,63,20,0,NA,9,15,12,38,0
"229",0,1,0,0,0,0,1,1,0,0,0,67,67,26,1,14.3999996185303,11,9,8,33,1
"230",1,1,0,0,0,0,2,1,0,0,0,71,71,27,1,13.2478628158569,15,8,12,31,0
"231",0,1,0,0,0,0,3,1,0,0,0,62,61,24,0,NA,12,16,NA,38,0
"232",1,1,0,0,0,1,3,1,0,0,0,68,69,21,1,11.7788457870483,14,14,10,34,0
"233",1,1,0,0,0,1,3,1,0,0,0,63,70,21,0,14.722222328186,12,15,10,32,0
"234",1,1,0,0,0,0,7,1,0,0,0,69,69,24,1,6.875,12,9,9,NA,0
"235",1,1,0,0,0,1,3,1,0,0,0,69,68,27,1,22.1377468109131,15,12,12,33,0
"236",0,1,0,0,0,0,1,1,0,0,0,65,65,28,0,15.625,13,12,9,34,0
"237",0,1,0,0,0,0,4,0,0,1,0,67,66,26,0,NA,12,7,11,38,1
"238",0,1,0,0,0,0,6,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,12,9,NA,NA
"239",0,1,0,0,0,0,7,1,0,0,0,62,62,21,0,NA,10,11,10,35,0
"240",0,1,0,0,0,0,6,1,0,0,0,65,66,25,0,10.638298034668,12,8,8,33,0
"241",1,1,0,0,0,0,6,NA,NA,NA,NA,64,64,24,0,NA,NA,11,11,NA,0
"242",0,1,0,0,0,0,2,0,0,0,1,66,66,26,1,12.0192308425903,12,12,12,37,2
"243",1,1,0,0,0,1,3,1,0,0,0,72,72,24,1,17.5213680267334,12,12,12,38,0
"244",0,1,0,0,1,0,4,1,0,0,0,62,62,20,1,13.3251190185547,12,7,16,39,1
"245",0,1,0,0,0,0,3,1,0,0,0,64,64,22,1,12.2448978424072,14,12,14,33,2
"246",1,1,0,0,0,0,3,0,0,1,0,71,71,21,1,NA,17,12,12,NA,2
"247",1,1,0,0,0,0,4,0,0,1,0,70,69,26,0,16.5384616851807,19,8,13,37,0
"248",1,1,0,0,0,0,4,1,0,0,0,72,72,26,0,7.14285707473755,12,8,16,35,1
"249",0,1,0,0,0,0,4,1,0,0,0,65,65,21,0,10.5769233703613,17,12,12,33,0
"250",0,1,0,0,0,0,1,1,0,0,0,NA,NA,14,NA,NA,12,8,12,38,NA
"251",1,1,0,0,0,0,2,0,0,0,1,67,65,NA,0,NA,12,10,10,NA,1
"252",0,1,0,0,0,0,2,1,0,0,0,65,65,NA,0,NA,12,NA,10,32,0
"253",1,1,0,0,0,0,2,1,0,0,0,67,66,21,0,6.73076915740967,11,12,8,31,0
"254",0,1,0,0,0,0,4,1,0,0,0,65,64,28,0,12.6518220901489,12,8,11,35,1
"255",0,1,0,0,0,1,4,1,0,0,0,64,49,22,1,5.60897445678711,12,8,10,34,0
"256",0,1,0,0,0,0,2,0,0,1,0,64,64,22,0,5.94947004318237,13,9,11,34,0
"257",1,1,0,0,0,0,2,0,0,1,0,68,NA,22,NA,5.92768239974976,12,9,11,31,NA
"258",0,1,0,0,0,0,3,1,0,0,0,66,66,25,1,6.99656772613525,14,12,14,38,1
"259",1,1,0,0,0,0,2,1,0,0,0,76,76,24,1,6.00436687469482,12,12,12,37,0
"260",1,1,0,0,0,1,3,1,0,0,0,67,68,28,0,19.230770111084,14,18,12,35,1
"261",1,1,0,0,0,1,3,1,0,0,0,71,71,28,0,15.1442308425903,14,8,12,33,0
"262",0,1,0,0,0,0,4,0,0,1,0,65,66,27,0,13.7019233703613,12,NA,12,36,0
"263",1,1,0,0,0,0,4,NA,NA,NA,NA,69,69,27,0,NA,NA,12,12,NA,0
"264",0,1,0,0,0,0,2,1,0,0,0,NA,65,26,1,13.6639680862427,16,10,10,34,0
"265",0,1,0,0,0,0,0,0,1,0,0,69,69,26,1,NA,16,NA,12,33,0
"266",1,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,14,12,NA,NA
"267",1,1,0,0,0,0,2,NA,NA,NA,NA,69,NA,23,NA,NA,NA,12,8,NA,NA
"268",1,1,0,0,0,0,4,1,0,0,0,67,68,27,0,11.2244901657104,12,13,12,37,0
"269",1,1,0,0,0,0,0,1,0,0,0,70,69,28,0,52.9890556335449,16,18,12,37,0
"270",1,1,0,0,0,1,3,1,0,0,0,68,68,21,0,18.0288467407227,12,16,12,34,0
"271",0,1,0,0,0,1,3,1,0,0,0,65,62,25,0,8.7209300994873,20,16,12,32,1
"272",0,1,0,0,0,0,6,1,0,0,0,66,66,28,1,NA,16,12,12,39,0
