"","male","white","black","hispanic","mompro2","poppro2","siblings","norest96","norcen96","south96","west96","height81","height85","esteem80","athlets","wage96","hgc96","daded79","momed79","age","clubnum"
"8251",0,0,1,0,0,0,-3,0,0,0,1,63,63,26,0,50.9803924560547,15,NA,NA,35,0
"8252",1,0,1,0,0,0,4,0,0,0,1,72,72,24,NA,6.25,13,10,10,32,NA
"8253",1,0,1,0,0,0,7,0,0,0,1,69,68,24,0,2.11640214920044,12,12,14,36,0
"8254",0,0,1,0,0,0,6,0,0,0,1,63,60,25,0,NA,12,11,15,34,0
"8255",1,0,1,0,0,0,7,0,0,0,1,68,68,22,0,NA,12,12,14,33,0
"8256",1,0,1,0,0,0,6,0,0,0,1,67,68,22,1,15.384614944458,14,12,12,31,2
"8257",0,0,0,1,0,0,6,0,0,0,1,62,62,28,1,28.1065082550049,16,6,6,37,0
"8258",1,0,0,1,0,0,9,NA,NA,NA,NA,71,70,22,1,NA,NA,NA,NA,NA,0
"8259",0,0,0,1,0,0,9,0,0,0,1,59,59,NA,0,12.7218933105469,6,0,NA,35,0
"8260",0,0,0,1,0,0,5,0,0,0,1,66,65,20,0,2,12,NA,NA,37,0
"8261",0,0,0,1,0,0,2,0,0,0,1,62,62,23,0,NA,10,12,11,35,0
"8262",0,0,0,1,1,0,1,0,0,0,1,64,65,28,1,37.1428565979004,16,12,12,33,2
"8263",1,0,0,1,0,0,2,0,0,0,1,72,71,24,1,7.692307472229,14,6,11,32,0
"8264",0,0,0,1,0,0,5,0,0,0,1,65,65,21,1,0,8,6,6,38,0
"8265",0,0,0,1,0,0,3,0,0,0,1,62,63,25,0,9.52948188781738,12,NA,8,38,0
"8266",0,0,0,1,0,0,3,0,0,0,1,63,63,22,0,12.0192308425903,13,NA,8,34,2
"8267",1,0,0,1,0,0,12,0,0,0,1,73,73,28,0,15,9,3,NA,39,0
"8268",1,0,0,1,0,0,7,0,0,0,1,66,66,23,0,17.5585289001465,14,NA,NA,31,0
"8269",0,0,0,1,0,0,2,0,0,0,1,61,61,21,0,NA,12,NA,1,34,0
"8270",1,0,0,1,0,0,2,0,0,0,1,71,71,26,0,21.634614944458,14,NA,NA,33,2
"8271",0,0,0,1,0,0,7,0,0,0,1,64,64,23,0,9.15750885009766,13,6,6,39,2
"8272",1,0,0,1,0,0,3,0,0,0,1,68,68,24,0,5.09259271621704,10,NA,12,35,1
"8273",0,0,0,1,1,0,2,0,0,0,1,64,64,28,1,18.269229888916,12,12,12,37,1
"8274",1,0,0,1,0,0,9,0,0,0,1,69,69,25,1,9.29368019104004,12,3,6,35,0
"8275",1,0,0,1,0,0,4,0,0,0,1,71,71,25,0,21.1538467407227,12,9,10,37,0
"8276",0,0,0,1,0,0,7,0,0,0,1,61,61,23,1,NA,13,NA,6,38,3
"8277",1,0,0,1,0,0,7,NA,NA,NA,NA,66,NA,21,1,NA,NA,NA,11,NA,0
"8278",1,0,0,1,0,0,3,0,0,0,1,71,71,19,0,10.0961542129517,12,NA,NA,33,0
"8279",0,0,0,1,0,0,8,0,0,0,1,64,64,26,1,4.09836053848267,14,11,10,38,0
"8280",1,0,0,1,0,0,3,NA,NA,NA,NA,NA,NA,18,NA,1.60000002384186,5,NA,NA,38,NA
"8281",1,0,0,1,1,0,5,NA,NA,NA,NA,71,71,23,0,NA,NA,4,16,NA,0
"8282",1,0,0,1,0,1,2,0,0,0,1,64,65,21,1,31.730770111084,12,NA,NA,37,0
"8283",0,0,0,1,0,0,2,0,0,0,1,59,58,21,1,NA,10,12,12,37,1
"8284",0,0,0,1,0,0,8,0,1,0,0,NA,NA,NA,NA,5.76923084259033,9,1,1,NA,NA
"8285",1,0,0,1,0,0,8,NA,NA,NA,NA,65,65,28,1,NA,NA,9,8,NA,0
"8286",0,0,0,1,0,0,6,0,0,0,1,63,63,22,0,7.8125,12,9,8,39,1
"8287",0,0,0,1,0,0,4,0,0,0,1,64,64,22,0,3.27371788024902,9,9,10,38,0
"8288",1,0,1,0,0,0,2,NA,NA,NA,NA,71,NA,27,NA,NA,NA,12,12,NA,NA
"8289",0,0,1,0,0,0,0,0,0,0,1,60,60,25,0,NA,12,6,11,33,0
"8290",1,0,0,1,0,0,4,0,0,0,1,69,69,24,0,6.18374538421631,12,6,2,36,0
"8291",1,0,0,1,0,0,4,0,0,0,1,70,70,24,1,14.4702844619751,12,6,2,34,0
"8292",1,0,0,1,0,0,4,0,0,0,1,72,70,22,0,17.3611106872559,10,6,6,37,0
"8293",1,0,1,0,0,0,6,0,0,0,1,68,70,27,1,NA,13,12,12,32,0
"8294",0,0,0,1,0,0,1,0,0,0,1,66,66,25,0,13.942307472229,13,NA,3,32,0
"8295",1,0,0,1,0,0,5,0,0,0,1,68,67,23,0,14.4230766296387,12,NA,4,32,0
